symbol,open,high,low,preV. CLOSE,ltp,indicative CLose,chng,%Chng,volume(shares),value(₹ Crores),52W H,52W L,30 d  %chng,30 d  %chng (2)
ADANIENT, 2287.00, 2303.90, 2274.30, 2279.80, 2279.30, 2283.00, -0.50, -0.02, 617209, 141.13, 2616.50, 1967.52, 1.79, 
HINDZINC, 636.70, 638.80, 621.35, 628.80, 628.35, 628.70, -0.45, -0.07, 5952276, 374.85, 656.35, 378.15, 26.86, 
BAJAJ-AUTO, 9520.00, 9684.00, 9465.00, 9502.50, 9496.00, 9507.00, -6.50, -0.07, 278219, 266.04, 9684.00, 7089.35, 4.59, 
COALINDIA, 430.95, 436.70, 423.50, 427.90, 427.55, 427.75, -0.35, -0.08, 15746751, 674.78, 436.70, 349.25, 12.92, 
ITC, 350.20, 353.95, 346.05, 350.05, 349.75, 349.70, -0.30, -0.09, 44585613, 1563.53, 491.00, 345.25, -12.69, 
PNB, 126.00, 128.24, 124.38, 125.35, 125.22, 125.34, -0.13, -0.10, 16707719, 210.97, 128.24, 85.46, -, 
INDIGO, 5106.00, 5140.00, 5075.00, 5106.00, 5100.00, 5105.50, -6.00, -0.12, 528162, 269.51, 6232.50, 3945.00, -10.38, 
KOTAKBANK, 2196.90, 2206.70, 2182.00, 2195.10, 2190.70, 2192.50, -4.40, -0.20, 1823926, 400.25, 2301.90, 1723.75, 2.46, 
PFC, 378.20, 378.90, 371.70, 375.95, 375.20, 375.70, -0.75, -0.20, 5602798, 209.76, 474.85, 329.90, 4.34, 
VEDL, 620.50, 624.50, 609.70, 616.95, 615.50, 615.75, -1.45, -0.24, 7671131, 472.08, 624.50, 363.00, 14.59, 
MOTHERSON, 122.74, 122.75, 120.33, 122.04, 121.73, 121.91, -0.31, -0.25, 14908789, 181.22, 124.71, 71.50, 2.33, 
LT, 4162.90, 4195.00, 4132.80, 4163.40, 4152.10, 4154.30, -11.30, -0.27, 1012935, 421.91, 4195.00, 2965.30, 3.30, 
GRASIM, 2871.00, 2893.00, 2842.50, 2856.40, 2847.20, 2845.50, -9.20, -0.32, 770239, 221.07, 2977.80, 2276.95, 4.44, 
M&M, 3805.90, 3839.90, 3785.00, 3802.40, 3790.00, 3793.00, -12.40, -0.33, 1369342, 522.03, 3839.90, 2425.00, 2.31, 
DIVISLAB, 6400.00, 6447.00, 6354.00, 6392.50, 6371.50, 6373.00, -21.00, -0.33, 120079, 76.82, 7071.50, 4955.00, -0.39, 
TORNTPHARM, 3885.30, 3900.10, 3855.00, 3885.30, 3872.00, 3873.80, -13.30, -0.34, 79510, 30.81, 3900.10, 2886.45, 4.22, 
CANBK, 155.50, 157.60, 153.52, 154.87, 154.30, 154.52, -0.57, -0.37, 16520629, 256.76, 158.00, 78.60, 1.87, 
NTPC, 350.35, 354.80, 348.40, 352.10, 350.75, 350.80, -1.35, -0.38, 16742126, 588.18, 371.45, 292.80, 7.15, 
SIEMENS, 3097.70, 3123.00, 3072.60, 3097.70, 3086.00, 3089.50, -11.70, -0.38, 133075, 41.26, 6740.00, 2450.00, -7.83, 
LTIM, 6067.50, 6150.50, 6012.50, 6067.00, 6043.00, 6043.50, -24.00, -0.40, 304882, 185.26, 6380.00, 3802.00, -1.57, 
DRREDDY, 1256.00, 1262.30, 1247.50, 1256.10, 1251.10, 1251.30, -5.00, -0.40, 1037556, 130.16, 1405.90, 1020.00, -1.50, 
UNITDSPR, 1381.30, 1391.20, 1368.80, 1381.60, 1374.20, 1376.10, -7.40, -0.54, 995986, 137.29, 1700.00, 1271.10, -4.12, 
CHOLAFIN, 1782.00, 1785.00, 1761.40, 1781.10, 1771.50, 1771.80, -9.60, -0.54, 620289, 109.81, 1789.10, 1169.80, 4.06, 
JIOFIN, 301.80, 302.45, 298.85, 301.70, 300.00, 300.10, -1.70, -0.56, 6194070, 186.07, 338.60, 198.65, -1.03, 
BOSCHLTD, 39010.00, 39550.00, 38760.00, 39420.00, 39200.00, 39220.00, -220.00, -0.56, 42604, 166.96, 41945.00, 25921.60, 7.53, 
CGPOWER, 652.00, 653.30, 639.50, 649.10, 645.25, 644.60, -3.85, -0.59, 1758806, 113.14, 797.55, 517.70, -1.61, 
INDHOTEL, 748.00, 748.00, 735.50, 748.65, 744.00, 744.40, -4.65, -0.62, 1450835, 107.66, 883.85, 672.60, 0.83, 
ABB, 5230.00, 5249.50, 5131.00, 5205.50, 5172.00, 5173.50, -33.50, -0.64, 84965, 44.07, 6937.90, 4684.45, 0.43, 
IRFC, 129.00, 129.32, 126.55, 128.48, 127.60, 127.52, -0.88, -0.68, 14125111, 180.29, 156.80, 108.04, 10.36, 
APOLLOHOSP, 7129.50, 7134.50, 7063.50, 7129.50, 7080.50, 7081.00, -49.00, -0.69, 307172, 218.28, 8099.50, 6001.00, -1.55, 
ADANIGREEN, 1039.00, 1044.70, 1027.70, 1038.80, 1031.60, 1033.10, -7.20, -0.69, 933552, 96.60, 1177.55, 758.00, 1.58, 
ETERNAL, 280.50, 284.00, 279.60, 284.15, 281.95, 282.10, -2.20, -0.77, 16822289, 473.24, 368.45, 194.80, -5.46, 
RELIANCE, 1593.00, 1611.80, 1577.00, 1592.30, 1579.30, 1580.20, -13.00, -0.82, 7255022, 1154.83, 1611.80, 1114.85, 2.97, 
SHRIRAMFIN, 1013.50, 1014.80, 994.65, 1010.35, 1002.10, 1003.15, -8.25, -0.82, 4021983, 403.48, 1025.60, 493.35, 19.79, 
TECHM, 1601.90, 1610.10, 1576.10, 1612.00, 1598.40, 1599.50, -13.60, -0.84, 788496, 125.75, 1736.40, 1209.40, 4.90, 
TCS, 3240.50, 3247.00, 3191.00, 3250.70, 3219.10, 3220.80, -31.60, -0.97, 2028723, 653.49, 4322.95, 2866.60, 3.67, 
BPCL, 380.00, 385.45, 374.40, 381.45, 377.65, 378.15, -3.80, -1.00, 4773754, 181.57, 388.15, 234.01, 6.33, 
IOC, 166.80, 168.79, 163.60, 166.79, 165.09, 165.26, -1.70, -1.02, 8536754, 141.82, 174.50, 110.72, 2.74, 
MAXHEALTH, 1062.60, 1062.60, 1048.50, 1062.60, 1051.30, 1051.80, -11.30, -1.06, 1337591, 141.01, 1314.30, 940.05, -4.91, 
VBL, 492.00, 493.80, 485.65, 493.80, 488.50, 489.30, -5.30, -1.07, 4437472, 216.76, 663.60, 419.55, 2.58, 
TATAPOWER, 392.50, 393.00, 387.30, 393.10, 388.85, 388.90, -4.25, -1.08, 3642998, 142.20, 416.80, 326.35, 1.20, 
BAJFINANCE, 979.70, 999.15, 975.00, 990.45, 978.65, 978.95, -11.80, -1.19, 9568883, 939.95, 1102.50, 697.10, -3.42, 
ADANIPOWER, 148.00, 148.40, 144.46, 148.17, 146.37, 146.38, -1.80, -1.21, 14502074, 211.95, 182.70, 89.00, 0.96, 
ADANIENSOL, 1054.70, 1057.70, 1040.00, 1057.90, 1045.10, 1046.80, -12.80, -1.21, 711935, 74.60, 1067.70, 639.45, 8.29, 
ONGC, 246.80, 246.80, 235.70, 241.46, 238.20, 238.36, -3.26, -1.35, 19024237, 455.92, 273.50, 205.00, -0.85, 
GAIL, 175.40, 175.90, 172.35, 175.38, 172.81, 173.09, -2.57, -1.47, 6598372, 114.87, 202.79, 150.52, 0.22, 
LICI, 858.50, 863.60, 843.70, 860.85, 846.70, 846.20, -14.15, -1.64, 1728245, 146.90, 980.00, 715.30, -2.61, 
NAUKRI, 1370.00, 1370.90, 1333.70, 1367.70, 1344.30, 1344.60, -23.40, -1.71, 592080, 79.70, 1825.78, 1157.00, -1.36, 
DMART, 3719.10, 3719.10, 3635.30, 3719.80, 3650.60, 3655.20, -69.20, -1.86, 483663, 177.07, 4949.50, 3340.00, -6.11, 
HCLTECH, 1625.00, 1633.50, 1580.10, 1640.20, 1608.60, 1610.00, -31.60, -1.93, 2917107, 467.45, 2012.20, 1302.75, 0.29, 
INFY, 1637.00, 1637.00, 1583.10, 1640.40, 1606.60, 1607.40, -33.80, -2.06, 5227885, 837.72, 1982.80, 1307.00, 5.09, 
WIPRO, 269.45, 269.65, 261.70, 269.00, 263.35, 263.55, -5.65, -2.10, 6059589, 159.92, 324.60, 228.00, 7.53, 
HDFCBANK, 1005.75, 1006.40, 976.30, 1001.60, 977.65, 977.75, -23.95, -2.39, 23128223, 2279.68, 1020.50, 812.15, 1.19, 
