symbol,open,high,low,preV. CLOSE,ltp,indicative CLose,chng,%Chng,volume(shares),value(₹ Crores),52W H,52W L,30 d  %chng,30 d  %chng (2)
CONCORDBIO, 1311.00, 1352.20, 1297.00, 1311.50, 1340.60, 1340.10, 29.10, 2.22, 134957, 17.86, 2451.70, 1297.00, -8.77, 
SWANCORP, 462.65, 479.30, 460.50, 462.85, 472.90, 472.75, 10.05, 2.17, 1376741, 65.12, 771.40, 362.20, 2.70, 
RAMCOCEM, 1065.20, 1102.50, 1065.20, 1056.70, 1079.20, 1078.80, 22.50, 2.13, 505374, 54.99, 1209.00, 788.20, 3.34, 
AFFLE, 1782.00, 1822.40, 1776.30, 1782.70, 1820.20, 1819.00, 37.50, 2.10, 258613, 46.83, 2185.90, 1246.00, 7.50, 
SHREECEM, 27070.00, 27675.00, 27070.00, 27045.00, 27610.00, 27645.00, 565.00, 2.09, 19210, 52.84, 32490.00, 24817.80, 1.88, 
EICHERMOT, 7344.00, 7514.50, 7328.00, 7334.50, 7486.50, 7489.00, 152.00, 2.07, 368607, 275.12, 7514.50, 4646.00, 3.12, 
SAIL, 147.40, 150.99, 146.36, 147.47, 150.48, 150.74, 3.01, 2.04, 20908114, 311.53, 150.99, 99.15, 11.33, 
MFSL, 1678.20, 1727.30, 1671.00, 1671.00, 1704.70, 1705.30, 33.70, 2.02, 958936, 163.81, 1751.40, 950.00, -1.23, 
BANDHANBNK, 147.00, 150.19, 145.95, 144.46, 147.35, 147.38, 2.89, 2.00, 11741510, 173.65, 192.48, 128.16, -3.55, 
MARICO, 768.00, 775.20, 752.50, 757.75, 772.80, 773.35, 15.05, 1.99, 2318554, 177.54, 775.20, 577.85, 5.63, 
DBREALTY, 120.90, 124.50, 118.60, 120.55, 122.86, 123.24, 2.31, 1.92, 1910883, 23.26, 252.67, 112.70, -5.12, 
NUVAMA, 1475.00, 1505.20, 1467.50, 1468.20, 1496.20, 1497.20, 28.00, 1.91, 301363, 45.01, 1701.70, 947.09, -79.80, 
LALPATHLAB, 1483.50, 1505.30, 1462.00, 1474.20, 1502.30, 1501.80, 28.10, 1.91, 278089, 41.31, 1770.00, 1146.78, -51.57, 
PIDILITIND, 1478.20, 1507.00, 1474.40, 1478.20, 1505.50, 1505.40, 27.30, 1.85, 403460, 60.43, 1574.95, 1311.10, 0.63, 
DLF, 702.00, 713.00, 696.45, 698.20, 711.00, 711.30, 12.80, 1.83, 3679893, 259.73, 886.80, 601.20, -1.97, 
BLUESTARCO, 1810.00, 1876.90, 1768.60, 1816.10, 1849.40, 1853.30, 33.30, 1.83, 563399, 103.95, 2417.00, 1521.00, 4.05, 
SUPREMEIND, 3540.00, 3624.90, 3529.80, 3534.10, 3598.80, 3604.20, 64.70, 1.83, 259390, 93.27, 4817.95, 3095.00, 6.06, 
CCL, 912.05, 937.00, 906.00, 915.70, 932.35, 933.45, 16.65, 1.82, 209349, 19.33, 1074.40, 525.00, -7.44, 
APLAPOLLO, 1938.70, 1969.70, 1904.70, 1931.90, 1966.60, 1966.60, 34.70, 1.80, 611707, 118.45, 1993.70, 1272.70, 11.37, 
NYKAA, 268.90, 272.95, 266.90, 264.90, 269.60, 269.80, 4.70, 1.77, 7120652, 191.91, 273.22, 154.90, 1.18, 
KALYANKJIL, 492.70, 505.90, 488.65, 495.70, 504.45, 503.85, 8.75, 1.77, 2136519, 106.60, 795.40, 399.40, -1.12, 
RRKABEL, 1510.50, 1544.80, 1507.60, 1510.50, 1537.00, 1537.10, 26.50, 1.75, 283534, 43.39, 1562.60, 853.55, 7.78, 
KARURVYSYA, 270.05, 278.75, 269.35, 272.50, 277.15, 277.70, 4.65, 1.71, 3056126, 84.24, 278.75, 154.63, 8.68, 
AIIL, 3045.00, 3098.50, 3033.20, 3045.80, 3098.00, 3098.10, 52.20, 1.71, 87766, 27.14, 3318.70, 1325.50, 16.59, 
APOLLOTYRE, 497.25, 508.25, 493.30, 497.25, 505.65, 505.50, 8.40, 1.69, 1033982, 52.23, 540.50, 370.90, -4.24, 
AUBANK, 1023.00, 1026.80, 1005.10, 999.40, 1016.15, 1016.05, 16.75, 1.68, 1866136, 189.47, 1026.80, 478.35, 4.86, 
BEML, 1865.70, 1917.00, 1865.70, 1857.80, 1888.40, 1888.10, 30.60, 1.65, 263554, 49.98, 2437.40, 1175.00, 3.61, 
MEDANTA, 1219.00, 1238.40, 1211.00, 1217.10, 1237.10, 1237.30, 20.00, 1.64, 149402, 18.33, 1456.50, 996.45, -0.61, 
DELHIVERY, 404.80, 411.90, 402.65, 404.50, 411.00, 410.95, 6.50, 1.61, 1991714, 81.17, 490.00, 236.53, -1.12, 
ULTRACEMCO, 11931.00, 12114.00, 11860.00, 11899.00, 12089.00, 12092.00, 190.00, 1.60, 272200, 328.18, 13097.00, 10047.85, 2.00, 
ASIANPAINT, 2770.00, 2828.00, 2769.00, 2772.60, 2816.90, 2820.20, 44.30, 1.60, 780842, 219.59, 2985.70, 2124.75, -6.15, 
TATASTEEL, 182.88, 186.89, 182.87, 182.88, 185.77, 185.83, 2.89, 1.58, 28030101, 519.45, 186.94, 122.62, 9.00, 
JUBLPHARMA, 1060.00, 1074.00, 1053.00, 1055.40, 1071.50, 1071.40, 16.10, 1.53, 64829, 6.92, 1248.00, 802.00, -3.91, 
HINDUNILVR, 2341.50, 2394.00, 2336.40, 2348.00, 2383.60, 2383.10, 35.60, 1.52, 1150239, 273.45, 2750.00, 2136.00, -5.24, 
APTUS, 283.80, 288.80, 282.45, 283.80, 288.10, 287.95, 4.30, 1.52, 493253, 14.07, 364.00, 267.95, 2.07, 
NATCOPHARM, 893.85, 916.50, 888.75, 893.05, 906.40, 907.10, 13.35, 1.49, 535963, 48.74, 1420.00, 726.80, -4.24, 
AXISBANK, 1274.20, 1289.70, 1270.00, 1266.90, 1285.50, 1285.20, 18.60, 1.47, 5311822, 682.37, 1304.00, 933.50, 0.71, 
MAPMYINDIA, 1710.20, 1734.00, 1692.20, 1701.80, 1726.70, 1728.50, 24.90, 1.46, 69527, 11.89, 2166.70, 1540.00, -1.90, 
THERMAX, 3039.90, 3079.00, 3019.40, 3025.90, 3069.90, 3073.10, 44.00, 1.45, 76930, 23.53, 4316.95, 2742.70, 3.48, 
ANANDRATHI, 3099.00, 3145.00, 3082.60, 3079.40, 3122.40, 3122.00, 43.00, 1.40, 142123, 44.38, 3321.40, 1594.00, 5.29, 
BALKRISIND, 2361.00, 2407.00, 2328.60, 2368.60, 2401.50, 2399.80, 32.90, 1.39, 132725, 31.59, 2915.85, 2152.05, -3.15, 
GUJGASLTD, 435.80, 443.20, 431.00, 436.30, 442.35, 442.35, 6.05, 1.39, 436579, 19.17, 517.90, 360.25, 8.20, 
WHIRLPOOL, 912.95, 920.90, 904.05, 904.55, 917.05, 915.85, 12.50, 1.38, 522180, 47.62, 1889.85, 884.00, -10.43, 
SUNDARMFIN, 5299.00, 5392.00, 5236.00, 5293.00, 5366.00, 5363.00, 73.00, 1.38, 51298, 27.45, 5419.00, 4097.00, 11.68, 
BLUEDART, 5600.00, 5676.00, 5535.00, 5593.50, 5670.50, 5666.50, 77.00, 1.38, 20444, 11.46, 7225.00, 5242.50, -1.09, 
VENTIVE, 748.15, 762.00, 747.50, 748.15, 758.35, 758.85, 10.20, 1.36, 75554, 5.72, 840.00, 523.40, 2.97, 
ZENSARTECH, 718.80, 727.95, 703.25, 699.35, 708.80, 709.65, 9.45, 1.35, 1021899, 72.79, 984.95, 535.85, -4.67, 
USHAMART, 453.80, 460.95, 451.15, 451.30, 457.35, 457.55, 6.05, 1.34, 351889, 16.07, 497.10, 278.55, 5.88, 
BRIGADE, 891.00, 905.00, 883.35, 890.45, 902.30, 903.40, 11.85, 1.33, 239002, 21.37, 1332.00, 838.50, 0.07, 
JSWENERGY, 510.05, 524.10, 509.85, 510.65, 517.20, 517.35, 6.55, 1.28, 3819878, 197.95, 647.10, 418.75, 5.47, 
UNOMINDA, 1335.40, 1355.00, 1315.90, 1321.20, 1338.00, 1337.80, 16.80, 1.27, 854558, 114.35, 1382.00, 767.60, 2.07, 
NAVA, 579.90, 582.70, 565.05, 573.45, 580.60, 580.55, 7.15, 1.25, 229182, 13.17, 735.00, 356.05, 10.51, 
JSL, 859.40, 870.00, 857.00, 855.40, 866.00, 866.50, 10.60, 1.24, 519534, 44.90, 870.00, 496.60, 12.44, 
ACC, 1751.90, 1772.00, 1750.20, 1748.80, 1770.40, 1769.70, 21.60, 1.24, 175700, 30.99, 2119.90, 1715.00, -5.57, 
JINDALSAW, 172.80, 173.96, 169.39, 170.58, 172.69, 172.43, 2.11, 1.24, 1305756, 22.47, 288.60, 153.00, 4.04, 
INDIAMART, 2177.90, 2210.00, 2171.00, 2177.80, 2204.70, 2205.00, 26.90, 1.24, 28914, 6.34, 2799.00, 1900.10, -6.38, 
UTIAMC, 1127.60, 1143.90, 1125.00, 1127.70, 1141.10, 1141.00, 13.40, 1.19, 61144, 6.94, 1494.80, 905.00, -1.88, 
MARUTI, 17025.00, 17370.00, 16980.00, 16960.00, 17157.00, 17165.00, 197.00, 1.16, 270830, 465.80, 17370.00, 11059.45, 4.44, 
SYRMA, 745.00, 760.00, 735.10, 741.90, 750.50, 750.35, 8.60, 1.16, 751356, 56.35, 909.90, 370.00, -6.70, 
ECLERX, 4721.50, 4826.60, 4691.90, 4721.50, 4774.70, 4782.50, 53.20, 1.13, 48892, 23.36, 4959.00, 2168.00, -1.53, 
ICICIBANK, 1354.20, 1375.50, 1352.60, 1355.40, 1370.60, 1371.80, 15.20, 1.12, 6101706, 835.15, 1500.00, 1186.00, -1.28, 
ATUL, 6144.00, 6223.50, 6129.50, 6109.50, 6178.00, 6177.00, 68.50, 1.12, 12147, 7.50, 7788.00, 4752.00, 5.64, 
ANANTRAJ, 587.00, 598.65, 581.10, 584.05, 590.50, 590.75, 6.45, 1.10, 2991701, 177.15, 947.90, 376.15, 5.10, 
AMBUJACEM, 568.70, 573.10, 567.05, 565.40, 571.45, 571.45, 6.05, 1.07, 2168009, 123.62, 624.95, 455.00, 4.13, 
REDINGTON, 276.40, 281.50, 275.40, 276.30, 279.25, 279.15, 2.95, 1.07, 1196263, 33.38, 334.80, 176.94, -1.44, 
POWERINDIA, 18801.00, 19013.00, 18565.00, 18803.00, 19000.00, 18986.00, 197.00, 1.05, 54016, 101.82, 22840.00, 8801.00, -17.37, 
GESHIP, 1114.10, 1135.50, 1114.00, 1114.00, 1125.70, 1126.10, 11.70, 1.05, 195605, 22.06, 1179.00, 797.50, 1.54, 
GODIGIT, 343.05, 350.15, 343.05, 346.35, 349.95, 349.95, 3.60, 1.04, 139029, 4.85, 381.40, 264.60, -0.03, 
J&KBANK, 103.20, 105.30, 102.01, 102.36, 103.40, 103.47, 1.04, 1.02, 4742348, 49.24, 117.25, 86.61, -4.49, 
TIMKEN, 3052.60, 3105.00, 3032.60, 3052.60, 3083.70, 3084.00, 31.10, 1.02, 57971, 17.87, 3575.00, 2202.00, -3.59, 
IKS, 1684.50, 1714.70, 1665.00, 1684.40, 1701.60, 1701.50, 17.20, 1.02, 84277, 14.29, 1992.20, 1236.80, 0.11, 
POONAWALLA, 484.00, 497.40, 476.40, 480.55, 485.40, 485.90, 4.85, 1.01, 2293336, 110.85, 570.40, 267.20, 1.09, 
PHOENIXLTD, 1903.40, 1922.90, 1881.00, 1903.40, 1922.40, 1920.60, 19.00, 1.00, 382072, 73.17, 1922.90, 1402.50, 9.95, 
SRF, 3059.50, 3095.00, 3050.00, 3059.50, 3090.00, 3087.90, 30.50, 1.00, 228437, 70.36, 3325.00, 2200.45, 6.99, 
BAJAJHLDNG, 11199.00, 11392.00, 11100.00, 11181.00, 11290.00, 11276.00, 109.00, 0.97, 60131, 67.47, 14763.00, 10245.10, 1.19, 
TATACONSUM, 1165.00, 1191.00, 1165.00, 1170.70, 1181.80, 1182.20, 11.10, 0.95, 1293362, 152.81, 1202.80, 913.05, 0.73, 
COROMANDEL, 2280.00, 2304.80, 2242.10, 2280.10, 2301.30, 2301.00, 21.20, 0.93, 144879, 33.00, 2718.90, 1596.00, -2.69, 
BERGEPAINT, 524.10, 529.50, 522.20, 524.10, 529.00, 529.00, 4.90, 0.93, 183496, 9.66, 605.00, 442.65, -6.25, 
PVRINOX, 1040.00, 1047.90, 1025.00, 1030.20, 1039.60, 1040.40, 9.40, 0.91, 414980, 42.99, 1329.00, 830.00, -6.79, 
ICICIPRULI, 680.00, 688.40, 678.30, 678.30, 684.45, 683.70, 6.15, 0.91, 484005, 33.08, 693.50, 525.80, 10.02, 
HAVELLS, 1440.00, 1462.20, 1431.10, 1439.90, 1452.90, 1450.60, 13.00, 0.90, 402907, 58.44, 1721.20, 1380.00, 1.22, 
ENRIN, 2547.00, 2586.90, 2545.60, 2546.70, 2569.40, 2566.60, 22.70, 0.89, 354162, 90.81, 3625.00, 2508.80, -20.27, 
PGHH, 12914.00, 13040.00, 12755.00, 12854.00, 12968.00, 12961.00, 114.00, 0.89, 1865, 2.41, 14964.10, 12105.60, 1.21, 
NAM-INDIA, 892.30, 912.50, 885.60, 892.30, 899.95, 900.05, 7.65, 0.86, 1089349, 98.24, 987.35, 498.05, 6.49, 
TMPV, 370.35, 375.00, 369.10, 370.35, 373.50, 373.50, 3.15, 0.85, 8443797, 314.13, 810.00, 337.70, 2.38, 
MAZDOCK, 2495.00, 2544.00, 2494.00, 2494.50, 2515.60, 2516.90, 21.10, 0.85, 1067469, 269.31, 3775.00, 1918.05, -5.91, 
AEGISLOG, 720.00, 768.45, 720.00, 726.15, 732.35, 731.45, 6.20, 0.85, 1553193, 116.61, 1037.00, 609.85, -6.19, 
BAJAJHFL, 97.10, 98.16, 96.67, 96.62, 97.44, 97.32, 0.82, 0.85, 9015834, 87.68, 136.96, 92.10, -0.41, 
EMAMILTD, 524.00, 529.00, 522.55, 522.55, 526.95, 527.50, 4.40, 0.84, 116195, 6.12, 653.35, 498.45, 0.11, 
HEROMOTOCO, 5960.00, 6045.00, 5925.00, 5933.00, 5982.00, 5991.00, 49.00, 0.83, 592729, 355.77, 6388.50, 3344.00, -5.38, 
TATACOMM, 1792.90, 1815.20, 1790.10, 1790.10, 1804.90, 1804.40, 14.80, 0.83, 117201, 21.10, 2004.00, 1291.00, -3.15, 
TITAN, 4051.70, 4094.00, 4046.00, 4051.70, 4084.00, 4083.30, 32.30, 0.80, 553819, 225.90, 4094.00, 2925.00, 4.27, 
GODREJCP, 1236.00, 1247.10, 1225.60, 1235.20, 1245.10, 1244.50, 9.90, 0.80, 665683, 82.51, 1309.00, 979.50, 9.11, 
BATAINDIA, 951.00, 958.15, 948.00, 950.15, 957.70, 957.35, 7.55, 0.79, 50407, 4.81, 1479.00, 931.10, -1.51, 
INTELLECT, 964.15, 974.00, 949.45, 961.25, 968.75, 969.10, 7.50, 0.78, 176313, 16.99, 1255.00, 577.40, -12.33, 
IPCALAB, 1407.00, 1418.00, 1394.00, 1404.00, 1415.00, 1413.80, 11.00, 0.78, 107598, 15.16, 1755.90, 1168.20, -1.77, 
3MINDIA, 36360.00, 36725.00, 36205.00, 36170.00, 36450.00, 36450.00, 280.00, 0.77, 2036, 7.41, 37305.00, 25718.15, 4.09, 
SBIN, 1000.00, 1015.50, 1000.00, 998.95, 1006.40, 1006.80, 7.45, 0.75, 10572462, 1065.46, 1015.50, 680.00, 3.27, 
NAVINFLUOR, 5903.00, 5987.50, 5888.50, 5903.00, 5947.00, 5942.50, 44.00, 0.75, 80757, 47.86, 6223.00, 3239.65, 2.01, 
RADICO, 3099.00, 3123.90, 3015.00, 3094.20, 3116.90, 3104.80, 22.70, 0.73, 419249, 128.48, 3591.90, 1845.50, -3.66, 
JPPOWER, 17.90, 17.98, 17.57, 17.69, 17.82, 17.81, 0.13, 0.73, 29812325, 53.04, 27.70, 12.36, -7.72, 
ZENTEC, 1367.70, 1394.90, 1363.00, 1362.40, 1372.30, 1372.30, 9.90, 0.73, 310618, 42.76, 2588.00, 945.35, -2.14, 
OBEROIRLTY, 1745.00, 1757.10, 1726.30, 1730.00, 1742.10, 1742.80, 12.10, 0.70, 234352, 40.83, 2297.80, 1451.95, 5.97, 
TBOTEK, 1640.00, 1663.80, 1560.10, 1638.20, 1649.30, 1650.60, 11.10, 0.68, 52421, 8.59, 1845.55, 996.00, -3.51, 
CUB, 288.50, 293.30, 287.45, 288.50, 290.40, 291.35, 1.90, 0.66, 1057736, 30.71, 302.20, 142.91, 5.68, 
ZFCVINDIA, 15198.00, 15407.00, 14970.00, 15040.00, 15140.00, 15145.00, 100.00, 0.66, 9407, 14.33, 15848.00, 9561.00, 4.35, 
CHAMBLFERT, 480.40, 487.00, 473.20, 479.90, 483.00, 484.35, 3.10, 0.65, 987300, 47.46, 742.20, 410.20, 9.33, 
GODFRYPHLP, 2256.60, 2290.00, 2255.50, 2249.30, 2263.70, 2266.90, 14.40, 0.64, 800311, 181.84, 3947.00, 1370.82, -19.49, 
HDFCLIFE, 751.50, 765.40, 751.50, 754.85, 759.70, 759.70, 4.85, 0.64, 1091989, 83.09, 820.75, 584.30, -0.55, 
AADHARHFC, 504.95, 507.35, 496.80, 500.55, 503.75, 503.35, 3.20, 0.64, 281581, 14.18, 547.80, 346.05, 3.20, 
HINDALCO, 932.50, 937.90, 925.85, 925.70, 931.50, 931.20, 5.80, 0.63, 4738310, 441.55, 937.90, 546.45, 14.73, 
HYUNDAI, 2267.80, 2284.30, 2251.00, 2267.90, 2282.30, 2282.40, 14.40, 0.63, 318555, 72.35, 2890.00, 1541.70, -4.81, 
PNBHOUSING, 1004.00, 1015.75, 995.60, 998.00, 1004.20, 1004.90, 6.20, 0.62, 703593, 70.64, 1141.90, 746.70, 10.96, 
IIFL, 645.00, 647.80, 638.15, 641.40, 645.40, 644.85, 4.00, 0.62, 961600, 61.78, 650.00, 279.80, 10.44, 
ERIS, 1533.50, 1561.90, 1490.70, 1533.50, 1543.00, 1542.20, 9.50, 0.62, 90094, 13.83, 1910.00, 1097.20, -2.31, 
BASF, 3920.00, 3973.00, 3900.00, 3934.80, 3959.30, 3960.60, 24.50, 0.62, 9529, 3.75, 5636.10, 3785.80, -4.23, 
BANKBARODA, 308.80, 311.80, 304.65, 305.05, 306.90, 307.10, 1.85, 0.61, 14846624, 457.57, 311.80, 190.70, 2.75, 
TATAELXSI, 5368.50, 5398.00, 5292.50, 5337.50, 5369.50, 5370.50, 32.00, 0.60, 134015, 71.77, 6779.95, 4700.00, 4.11, 
KEC, 744.75, 752.00, 741.95, 746.85, 751.35, 750.65, 4.50, 0.60, 241057, 18.02, 1242.55, 627.45, 4.84, 
ANGELONE, 2380.10, 2427.00, 2366.40, 2387.90, 2402.10, 2399.70, 14.20, 0.59, 793618, 190.02, 3285.00, 1941.00, -15.15, 
GSPL, 311.00, 323.30, 311.00, 319.95, 321.80, 321.75, 1.85, 0.58, 466478, 14.94, 387.00, 261.45, 7.20, 
ABCAPITAL, 362.05, 366.50, 360.05, 361.25, 363.30, 363.55, 2.05, 0.57, 2427225, 88.35, 368.95, 149.01, 1.55, 
BRITANNIA, 5970.00, 6092.00, 5930.50, 5984.50, 6018.00, 6020.00, 33.50, 0.56, 431944, 259.95, 6336.00, 4506.00, 1.86, 
KSB, 754.90, 761.65, 748.00, 753.05, 757.20, 757.00, 4.15, 0.55, 75121, 5.68, 912.00, 582.25, 0.04, 
TRENT, 4409.60, 4457.00, 4357.00, 4409.60, 4433.00, 4438.40, 23.40, 0.53, 453439, 200.33, 7493.05, 3930.10, 4.33, 
ZYDUSLIFE, 915.10, 924.85, 911.45, 916.90, 921.75, 922.60, 4.85, 0.53, 366503, 33.69, 1059.05, 795.00, -2.74, 
BANKINDIA, 150.90, 152.33, 148.00, 149.22, 150.00, 150.09, 0.78, 0.52, 8769991, 131.58, 152.33, 90.05, 2.39, 
KFINTECH, 1088.90, 1102.90, 1077.70, 1082.00, 1087.60, 1087.40, 5.60, 0.52, 827428, 90.33, 1562.05, 784.15, -0.13, 
