symbol,open,high,low,preV. CLOSE,ltp,indicative CLose,chng,%Chng,volume(shares),value(₹ Crores),52W H,52W L,30 d  %chng,30 d  %chng (2)
NIFTY 500, 24123.10, 24144.20, 23999.15, 24099.00, 24066.45, 24075.05, -32.55, -0.14, 2807037751, 69448.92, 24107.70, 19519.85, 1.16, 
NETWEB, 3044.00, 3433.00, 3030.00, 3024.10, 3280.00, 3278.70, 255.90, 8.46, 6790165, 2243.61, 4479.00, 1251.55, -6.09, 
OLAELEC, 41.25, 44.29, 39.73, 40.89, 44.00, 43.94, 3.11, 7.61, 294889564, 1260.36, 88.59, 30.76, 2.12, 
METROPOLIS, 1960.00, 2053.90, 1950.70, 1933.30, 2043.90, 2041.10, 110.60, 5.72, 199370, 40.22, 2263.00, 1315.00, -0.31, 
SOBHA, 1548.20, 1579.00, 1520.10, 1490.60, 1575.40, 1574.40, 84.80, 5.69, 1438627, 223.31, 1732.50, 1075.30, -3.87, 
SJVN, 84.00, 88.80, 83.80, 83.04, 87.40, 87.25, 4.36, 5.25, 94920222, 830.84, 112.50, 69.85, 7.33, 
CYIENT, 1106.70, 1174.40, 1106.70, 1105.90, 1157.40, 1157.60, 51.50, 4.66, 1217805, 140.77, 1845.00, 1076.30, -6.18, 
PGEL, 605.00, 644.40, 600.90, 602.70, 630.25, 631.30, 27.55, 4.57, 7947933, 500.91, 1054.20, 465.00, 2.64, 
DATAPATTNS, 2624.00, 2745.00, 2607.90, 2621.70, 2738.10, 2737.30, 116.40, 4.44, 485199, 131.27, 3268.80, 1351.15, -9.45, 
EMCURE, 1441.90, 1514.80, 1441.90, 1430.90, 1493.80, 1494.00, 62.90, 4.40, 510414, 75.90, 1519.90, 889.00, 2.82, 
RHIM, 458.50, 475.85, 457.20, 455.30, 475.20, 473.90, 19.90, 4.37, 247268, 11.59, 547.90, 376.45, -2.24, 
MSUMI, 50.49, 52.15, 49.21, 49.85, 52.00, 52.02, 2.15, 4.31, 22502846, 115.03, 52.15, 30.72, 7.41, 
JKCEMENT, 5599.00, 5810.00, 5571.50, 5560.50, 5777.50, 5775.50, 217.00, 3.90, 120570, 69.25, 7565.50, 4218.90, -4.08, 
AMBER, 6522.00, 6824.00, 6500.00, 6482.50, 6722.00, 6726.50, 239.50, 3.69, 317206, 212.44, 8626.00, 5235.00, -7.94, 
UNIONBANK, 158.00, 162.99, 157.51, 156.70, 162.41, 162.16, 5.71, 3.64, 27936029, 449.97, 162.99, 100.81, 0.60, 
SAREGAMA, 357.45, 374.20, 354.55, 357.95, 370.85, 370.80, 12.90, 3.60, 933839, 34.45, 603.80, 340.30, -6.48, 
HBLENGINE, 935.00, 984.90, 928.75, 937.55, 971.00, 969.75, 33.45, 3.57, 3093897, 298.46, 1122.00, 405.00, 10.76, 
SAILIFE, 921.85, 966.90, 921.80, 921.70, 954.50, 954.75, 32.80, 3.56, 1255363, 119.95, 966.90, 636.10, 5.04, 
JUBLINGREA, 734.00, 777.00, 729.85, 726.25, 751.85, 751.05, 25.60, 3.52, 1982625, 150.68, 885.00, 535.20, 3.30, 
BDL, 1495.00, 1553.00, 1494.00, 1495.00, 1545.90, 1546.10, 50.90, 3.40, 3061165, 470.44, 2096.60, 907.00, -1.99, 
SOLARINDS, 12335.00, 12921.00, 12250.00, 12336.00, 12749.00, 12746.00, 413.00, 3.35, 210279, 267.86, 17820.00, 8482.50, -7.30, 
VOLTAS, 1429.50, 1494.60, 1423.20, 1430.20, 1477.00, 1477.50, 46.80, 3.27, 1469740, 216.34, 1859.40, 1135.00, 5.71, 
KIMS, 630.95, 660.10, 630.35, 632.25, 652.95, 652.25, 20.70, 3.27, 591127, 38.44, 798.40, 474.05, -9.75, 
LODHA, 1090.70, 1130.00, 1086.20, 1085.70, 1120.50, 1121.80, 34.80, 3.21, 2587454, 289.54, 1531.00, 1035.15, -3.05, 
WOCKPHARMA, 1408.00, 1484.00, 1401.00, 1406.20, 1450.80, 1453.80, 44.60, 3.17, 1784225, 260.63, 1868.80, 1110.05, -5.93, 
FIRSTCRY, 290.25, 299.55, 290.25, 289.80, 298.95, 299.15, 9.15, 3.16, 1003188, 29.85, 658.00, 277.10, -3.35, 
CREDITACC, 1295.00, 1330.00, 1295.00, 1287.70, 1328.00, 1327.20, 40.30, 3.13, 508772, 66.84, 1490.10, 750.20, -2.80, 
CROMPTON, 252.70, 260.25, 250.50, 252.10, 259.80, 259.80, 7.70, 3.05, 5290079, 135.55, 382.45, 247.50, -3.37, 
PATANJALI, 557.00, 574.60, 556.20, 557.00, 574.00, 573.85, 17.00, 3.05, 1790940, 101.68, 670.33, 521.00, -1.13, 
ESCORTS, 3877.00, 3975.50, 3847.00, 3847.10, 3963.80, 3963.10, 116.70, 3.03, 143296, 56.41, 4180.00, 2776.40, 2.39, 
ASTRAL, 1450.00, 1501.20, 1450.00, 1453.40, 1496.90, 1498.40, 43.50, 2.99, 649763, 96.42, 1657.95, 1232.30, 2.37, 
CGCL, 185.22, 191.87, 184.11, 185.22, 190.69, 190.69, 5.47, 2.95, 1289938, 24.40, 231.35, 150.51, -2.30, 
PRESTIGE, 1620.00, 1675.00, 1610.20, 1618.80, 1666.20, 1669.20, 47.40, 2.93, 829844, 135.81, 1814.00, 1048.05, -2.04, 
GODREJPROP, 2070.00, 2127.70, 2057.70, 2068.50, 2127.20, 2124.70, 58.70, 2.84, 1315595, 276.07, 2830.60, 1900.00, -1.39, 
FINPIPE, 177.40, 185.10, 177.40, 178.51, 183.53, 183.66, 5.02, 2.81, 1365181, 24.94, 254.50, 153.92, 2.11, 
BEL, 402.85, 418.60, 402.80, 403.15, 414.20, 414.60, 11.05, 2.74, 24327172, 1006.44, 436.00, 240.25, -2.40, 
GRSE, 2450.00, 2520.00, 2438.20, 2437.00, 2503.00, 2506.10, 66.00, 2.71, 1573149, 391.61, 3538.40, 1184.90, -6.57, 
NESTLEIND, 1279.00, 1320.00, 1278.50, 1279.70, 1313.90, 1314.90, 34.20, 2.67, 2091658, 274.21, 1320.00, 1055.00, 1.65, 
MUTHOOTFIN, 3849.00, 3925.00, 3839.90, 3820.80, 3920.30, 3921.10, 99.50, 2.60, 723338, 281.52, 3925.00, 1965.00, 1.08, 
INDIACEM, 445.40, 462.80, 441.40, 445.40, 457.00, 456.95, 11.60, 2.60, 765650, 34.92, 462.80, 238.85, 16.31, 
SUMICHEM, 469.00, 481.35, 468.75, 468.70, 480.70, 479.80, 12.00, 2.56, 190155, 9.06, 665.00, 432.20, 1.85, 
CHOLAHLDNG, 1880.00, 1921.10, 1873.50, 1872.50, 1920.20, 1919.50, 47.70, 2.55, 144466, 27.54, 2231.60, 1357.35, -0.25, 
HAL, 4418.00, 4544.90, 4417.80, 4417.80, 4527.00, 4531.50, 109.20, 2.47, 1154367, 521.10, 5165.00, 3046.05, -2.01, 
YESBANK, 22.35, 22.91, 22.18, 22.29, 22.84, 22.86, 0.55, 2.47, 139681164, 314.84, 24.30, 16.02, -1.85, 
HINDCOPPER, 554.95, 570.00, 550.30, 541.90, 554.90, 554.50, 13.00, 2.40, 48463546, 2720.16, 570.00, 183.82, 60.04, 
ABREL, 1665.40, 1708.60, 1665.40, 1664.20, 1704.00, 1702.60, 39.80, 2.39, 75780, 12.84, 2551.10, 1562.60, -4.78, 
HONAUT, 33645.00, 34995.00, 33645.00, 33625.00, 34410.00, 34485.00, 785.00, 2.33, 7994, 27.58, 43732.55, 31025.00, -4.68, 
SAMMAANCAP, 148.51, 152.38, 147.00, 148.61, 151.97, 151.95, 3.36, 2.26, 22535116, 338.48, 192.95, 97.61, -0.93, 
ABSLAMC, 833.60, 857.10, 833.60, 833.60, 852.20, 852.30, 18.60, 2.23, 370371, 31.49, 908.00, 556.45, 14.60, 
